"";"created_at";"screen_name";"text"
"19";2019-09-03 07:29:46;"bangpines";"Video Detik-detik tabrakan beruntun terjadi di KM 91 +400 Tol Cipularang dari arah Bandung ke Jakarta.

#jurnalwarga #infowarga #Kecelakaan #cipularang #purbaleunyi #purwakarta #bandung #jakarta https://t.co/Oj96emrTaj"
"20";2019-09-03 07:29:25;"abee64394923";"Innalilahi.. Detik-Detik Sebelum Kecelakaan Beruntun di Cipularang Senin 2/9/19
#Cipularang #kecelakaan #otomotiv https://t.co/rCYXMj8j4E"
"21";2019-09-03 07:28:44;"ElshintaDotcom";"Kecelakaan di Tol Cipularang terkait kecepatan lebihi batas 

#kecelakaan #kecelakaanberuntun
https://t.co/f9OJr3I2k8"
"22";2019-09-03 07:04:54;"ElshintaDotcom";"8 nyawa melayang, laju kendaraan di Tol Cipali akan dievaluasi

#Kecelakaan #KecelakaanCipularang
https://t.co/aVgRn7WJSR"
"23";2019-09-03 07:26:11;"sylssxx";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"24";2019-09-03 07:26:03;"chillyourmindd";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"25";2019-09-03 07:24:42;"netizen_now";"Terlepas dari suasana mistis di Cipularang,gue penasaran ini sosok apa setalah kecelakaan fatal itu terjadi seperti sosok manusia hitam gitu #kecelakaan #Cipularang #KM91 https://t.co/lVRoWvWCLO"
"26";2019-09-03 07:24:19;"Riyujiewa";"Video Detik-detik tabrakan beruntun terjadi di KM 91 +400 Tol Cipularang dari arah Bandung ke Jakarta.

#jurnalwarga #infowarga #Kecelakaan #cipularang #purbaleunyi #purwakarta #bandung #jakarta https://t.co/Oj96emrTaj"
"27";2019-09-03 07:24:16;"itsmintaraga";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"28";2019-09-03 07:21:05;"shizy_Lia";"12.53 Info awal #kecelakaan di Tol Tandes arah Gresik. AKP Amar Hadi Kanit PJR Jatim 2 mengabarkan, ada Truk Hino diduga rem blong, kemudian menabrak Truk Trailer. Saat ini sedang proses evakuasi. Lalu lintas Macet (odp-pr)"
"29";2019-09-03 07:18:38;"aufrieda";"Innalilahi.. Detik-Detik Sebelum Kecelakaan Beruntun di Cipularang Senin 2/9/19
#Cipularang #kecelakaan #otomotiv https://t.co/rCYXMj8j4E"
"30";2019-09-03 07:20:30;"aufrieda";"Kecelakaan di Tol Cipularang, Purwakarta, Jawa Barat, Senin (2/9) siang,  4 kendaraan terbakar, 8 orang meninggal, dan 28 lainnya terluka.  #Kecelakaan #Cipularang #SeputariNewsPagi #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyzVWJ https://t.co/n7iG7Lrjld"
"31";2019-09-03 07:13:44;"bey2497";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"32";2019-09-03 07:13:31;"agasvyra";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"33";2019-09-03 07:13:16;"lihatajha";"perpecahan Islam dan penindasan, insya allah akan segera berakhir dngn kemunculan Al Mahdi nanti. 
""Alhamdulillah""

Tpi, sebelumnya akan ada Dukhan yg lewat terlebih dahulu 
""Astaghfirullah""

#Kampungdigitalbanyuwangi
#Kecelakaan 
#TolakKenaikanBPJS
#bocahsantuy https://t.co/HKkt2USRNA"
"34";2019-09-03 07:10:37;"pramudhitatmk";"Video Detik-detik tabrakan beruntun terjadi di KM 91 +400 Tol Cipularang dari arah Bandung ke Jakarta.

#jurnalwarga #infowarga #Kecelakaan #cipularang #purbaleunyi #purwakarta #bandung #jakarta https://t.co/Oj96emrTaj"
